bench-name,core-freq,memory-freq,problem-size,num-iters,kernel-time-mean,kernel-time-stddev,run-time-mean,run-time-stddev,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max
Stencil_float_2_1_1_1_0,0,0,2048,15,0.007837,0.000004,0.007976,0.000023,1.355908,0.074521,1.424744
Stencil_float_3_1_1_1_0,0,0,2048,15,0.014262,0.000018,0.014417,0.000024,2.911389,0.064493,2.984924
Stencil_float_4_1_1_1_0,0,0,2048,15,0.023997,0.000012,0.024180,0.000036,4.848816,0.059015,4.948670
Stencil_float_5_0_1_1_0,0,0,2048,15,0.021482,0.000022,0.021648,0.000037,4.559497,0.090055,4.662353
Stencil_int_2_1_1_1_0,0,0,2048,15,0.012815,0.000015,0.012964,0.000039,2.684363,0.038767,2.715332
Stencil_int_3_1_1_1_0,0,0,2048,15,0.017552,0.000011,0.017718,0.000036,3.890783,0.065593,3.947143
Stencil_int_4_1_1_1_0,0,0,2048,15,0.029071,0.000013,0.029258,0.000016,6.299035,0.041455,6.343017
Stencil_int_5_0_1_1_0,0,0,2048,15,0.038489,0.000008,0.038696,0.000023,7.984094,0.015989,8.010253
Stencil_float_2_1_1_1_1,0,0,2048,15,0.007934,0.000006,0.008076,0.000023,1.890698,0.074942,1.955688
Stencil_float_3_1_1_1_1,0,0,2048,15,0.015554,0.000018,0.015714,0.000025,3.638990,0.072313,3.725708
Stencil_float_4_1_1_1_1,0,0,2048,15,0.025916,0.000027,0.026093,0.000045,6.016846,0.083800,6.123658
Stencil_float_5_1_0_0_1,0,0,2048,15,0.026474,0.000017,0.026654,0.000029,6.203443,0.049179,6.241699
Stencil_int_2_1_1_1_1,0,0,2048,15,0.012036,0.000004,0.012198,0.000032,2.584595,0.052551,2.638550
Stencil_int_3_1_1_1_1,0,0,2048,15,0.023384,0.000015,0.023557,0.000045,5.088452,0.079954,5.164001
Stencil_int_4_1_1_1_1,0,0,2048,15,0.038288,0.000017,0.038490,0.000023,8.213538,0.059674,8.290344
Stencil_int_5_1_0_0_1,0,0,2048,15,0.025440,0.000024,0.025620,0.000029,5.807727,0.072412,5.864746
Stencil_float_2_1_1_1_0,0,0,2048,15,0.007841,0.000009,0.007992,0.000051,1.387573,0.006754,1.397644
Stencil_float_3_1_1_1_0,0,0,2048,15,0.014269,0.000008,0.014422,0.000021,2.885498,0.043965,2.929688
Stencil_float_4_1_1_1_0,0,0,2048,15,0.023997,0.000030,0.024173,0.000030,4.844849,0.024847,4.879821
Stencil_float_5_0_1_1_0,0,0,2048,15,0.021438,0.000026,0.021611,0.000035,4.538464,0.077587,4.633240
Stencil_int_2_1_1_1_0,0,0,2048,15,0.012804,0.000007,0.012961,0.000011,2.706775,0.017837,2.723266
Stencil_int_3_1_1_1_0,0,0,2048,15,0.017527,0.000006,0.017699,0.000034,3.868298,0.094458,3.949279
Stencil_int_4_1_1_1_0,0,0,2048,15,0.029064,0.000014,0.029248,0.000030,6.305750,0.032170,6.344361
Stencil_int_5_0_1_1_0,0,0,2048,15,0.038465,0.000011,0.038669,0.000028,7.898059,0.091734,7.997803
Stencil_float_2_1_1_1_1,0,0,2048,15,0.007939,0.000010,0.008091,0.000035,1.909241,0.050141,1.950439
Stencil_float_3_1_1_1_1,0,0,2048,15,0.015581,0.000019,0.015746,0.000029,3.730688,0.049306,3.789611
Stencil_float_4_1_1_1_1,0,0,2048,15,0.025922,0.000010,0.026103,0.000028,6.001111,0.046223,6.052430
Stencil_float_5_1_0_0_1,0,0,2048,15,0.026478,0.000023,0.026653,0.000025,6.199670,0.056299,6.252563
Stencil_int_2_1_1_1_1,0,0,2048,15,0.012038,0.000008,0.012191,0.000013,2.586145,0.061792,2.655090
Stencil_int_3_1_1_1_1,0,0,2048,15,0.023378,0.000013,0.023552,0.000035,5.103161,0.057874,5.166870
Stencil_int_4_1_1_1_1,0,0,2048,15,0.038297,0.000007,0.038508,0.000024,8.163916,0.043856,8.239441
Stencil_int_5_1_0_0_1,0,0,2048,15,0.025450,0.000027,0.025629,0.000012,5.767725,0.081769,5.849365
Stencil_float_2_1_1_1_0,0,0,2048,15,0.007843,0.000009,0.007992,0.000051,1.352429,0.056394,1.384155
Stencil_float_3_1_1_1_0,0,0,2048,15,0.014278,0.000003,0.014440,0.000021,2.848218,0.014507,2.863281
Stencil_float_4_1_1_1_0,0,0,2048,15,0.023990,0.000016,0.024165,0.000040,4.813208,0.029051,4.846924
Stencil_float_5_0_1_1_0,0,0,2048,15,0.021440,0.000009,0.021608,0.000033,4.624414,0.049266,4.672058
Stencil_int_2_1_1_1_0,0,0,2048,15,0.012810,0.000010,0.012969,0.000023,2.657361,0.070674,2.704467
Stencil_int_3_1_1_1_0,0,0,2048,15,0.017528,0.000010,0.017699,0.000028,3.892420,0.072673,3.947205
Stencil_int_4_1_1_1_0,0,0,2048,15,0.029052,0.000017,0.029244,0.000022,6.307141,0.009479,6.319153
Stencil_int_5_0_1_1_0,0,0,2048,15,0.038450,0.000011,0.038656,0.000028,7.909460,0.083620,7.980774
Stencil_float_2_1_1_1_1,0,0,2048,15,0.007935,0.000003,0.008078,0.000024,1.856995,0.028217,1.904602
Stencil_float_3_1_1_1_1,0,0,2048,15,0.015555,0.000018,0.015720,0.000030,3.736694,0.097297,3.784546
