Global Size,Local Size,Memory Bandwidth
1024,32,0.0139876
2048,32,0.0270243
4096,32,0.0407126
8192,32,0.0754774
16384,32,0.0993837
32768,32,0.186326
65536,32,0.245917
131072,32,0.450295
262144,32,0.458166
524288,32,0.790734
1048576,32,0.91449
2097152,32,0.870193
4194304,32,1.11018
8388608,32,1.40551
16777216,32,1.74127
33554432,32,1.99243
67108864,32,2.15552
134217728,32,2.23175
1024,64,0.0151533
2048,64,0.0124224
4096,64,0.0422128
8192,64,0.0697217
16384,64,0.131417
32768,64,0.177048
65536,64,0.344535
131072,64,0.50996
262144,64,0.757957
524288,64,1.04757
1048576,64,1.09549
2097152,64,1.19995
4194304,64,1.24555
8388608,64,1.58691
16777216,64,1.9986
33554432,64,2.30805
67108864,64,2.43993
134217728,64,2.48032
1024,128,0.0145985
2048,128,0.027211
4096,128,0.0432431
8192,128,0.0709487
16384,128,0.111888
32768,128,0.209492
65536,128,0.484877
131072,128,0.836601
262144,128,0.775758
524288,128,1.18931
1048576,128,1.23785
2097152,128,1.37589
4194304,128,1.40781
8388608,128,1.69431
16777216,128,2.10402
33554432,128,2.33233
67108864,128,2.51187
134217728,128,2.66358
1024,256,0.0147601
2048,256,0.02649
4096,256,0.0487806
8192,256,0.0761907
16384,256,0.128764
32768,256,0.240602
65536,256,0.449887
131072,256,0.775794
262144,256,0.89827
524288,256,1.3875
1048576,256,1.3838
2097152,256,1.3667
4194304,256,1.25031
8388608,256,1.71184
16777216,256,2.0092
33554432,256,2.41287
67108864,256,2.63451
134217728,256,2.70272
1024,512,0.0144404
2048,512,0.0261465
4096,512,0.0569395
8192,512,0.0846559
16384,512,0.157248
32768,512,0.225352
65536,512,0.461235
131072,512,0.836601
262144,512,1.06111
524288,512,1.26657
1048576,512,1.45042
2097152,512,1.51005
4194304,512,1.4037
8388608,512,1.8242
16777216,512,2.23879
33554432,512,2.50592
67108864,512,2.76912
134217728,512,2.86459
1024,1024,0.0147601
2048,1024,0.0278746
4096,1024,0.0546017
8192,1024,0.0960874
16384,1024,0.212647
32768,1024,0.256514
65536,1024,0.403149
131072,1024,0.769889
262144,1024,1.06117
524288,1024,1.33679
1048576,1024,1.53121
2097152,1024,1.58851
4194304,1024,1.53251
8388608,1024,1.75917
16777216,1024,2.25838
33554432,1024,2.67931
67108864,1024,2.90806
134217728,1024,3.02183
