bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.021314,0.004765,0.018947,6.597402,,,,
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.019982,0.000553,0.019513,6.405975,,,,
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.019885,0.000337,0.019463,6.422353,,,,
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.017540,0.000250,0.017269,7.238456,,,,
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,9.726431,0.003091,9.723998,0.012855,,,,
MicroBench_HostDeviceBandwidth_3D_D2H_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,9.732021,0.010504,9.724204,0.012855,,,,
MicroBench_HostDeviceBandwidth_1D_H2D_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.019165,0.000222,0.018816,6.643257,,,,
MicroBench_HostDeviceBandwidth_2D_H2D_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.019842,0.000212,0.019646,6.362623,,,,
MicroBench_HostDeviceBandwidth_3D_H2D_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.019834,0.000056,0.019757,6.326958,,,,
MicroBench_HostDeviceBandwidth_1D_D2H_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.017481,0.000243,0.017320,7.217206,,,,
MicroBench_HostDeviceBandwidth_2D_D2H_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,9.730595,0.004365,9.727894,0.012850,,,,
MicroBench_HostDeviceBandwidth_3D_D2H_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,9.726924,0.001461,9.724741,0.012854,,,,
