bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_HostDeviceBandwidth_1D_H2D_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.027698,0.000199,0.027395,4.562845,,,,
MicroBench_HostDeviceBandwidth_2D_H2D_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.029461,0.005001,0.027626,4.524698,,,,
MicroBench_HostDeviceBandwidth_3D_H2D_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.027703,0.000223,0.027223,4.591750,,,,
MicroBench_HostDeviceBandwidth_1D_D2H_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.027464,0.001375,0.026550,4.708142,,,,
MicroBench_HostDeviceBandwidth_2D_D2H_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.026832,0.000212,0.026520,4.713456,,,,
MicroBench_HostDeviceBandwidth_3D_D2H_Contiguous,,,512,32,,0.125000,N/A,N/A,,N/A,0.027816,0.003191,0.026586,4.701668,,,,
MicroBench_HostDeviceBandwidth_1D_H2D_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.029272,0.005947,0.027164,4.601609,,,,
MicroBench_HostDeviceBandwidth_2D_H2D_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.027795,0.000144,0.027507,4.544345,,,,
MicroBench_HostDeviceBandwidth_3D_H2D_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.027793,0.000129,0.027608,4.527708,,,,
MicroBench_HostDeviceBandwidth_1D_D2H_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.027387,0.000102,0.027183,4.598543,,,,
MicroBench_HostDeviceBandwidth_2D_D2H_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.027470,0.000200,0.027239,4.589050,,,,
MicroBench_HostDeviceBandwidth_3D_D2H_Strided,,,512,32,,0.125000,N/A,N/A,,N/A,0.028793,0.005099,0.026838,4.657516,,,,
