bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001134,0.000030,,1786.914071,0.001181,0.000042,0.001148,1741.553466,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001133,0.000030,,1786.914071,0.001183,0.000035,0.001149,1740.959199,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053279,0.000030,,4806.434374,0.053588,0.000017,0.053574,4778.461384,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053248,0.000016,,4809.373710,0.053565,0.000022,0.053540,4781.428751,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003612,0.000033,,4479.433800,0.003669,0.000059,0.003605,4437.710219,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003614,0.000033,,4491.596223,0.003654,0.000034,0.003596,4449.723547,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.001221,0.000001,,819.935586,0.001282,0.000042,0.001253,798.013903,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.001200,0.000050,,900.485542,0.001253,0.000041,0.001180,847.564650,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,0.000276,0.000008,,N/A,0.000318,0.000024,0.000302,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,0.000273,0.000000,,N/A,0.000309,0.000014,0.000302,N/A,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.001997,0.000031,,4090.347598,0.002050,0.000068,0.001991,4018.297317,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002040,0.000052,,4073.021123,0.002083,0.000037,0.002044,3913.354420,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000248,0.000000,,N/A,0.000288,0.000024,0.000277,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000248,0.000000,,N/A,0.000289,0.000017,0.000277,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,0.013503,0.000035,,4754.060562,0.013689,0.000034,0.013641,4691.644592,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,0.013562,0.000043,,4730.161996,0.013737,0.000071,0.013675,4679.928023,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,0.000377,0.000000,,N/A,0.000420,0.000026,0.000408,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,0.000377,0.000001,,N/A,0.000418,0.000019,0.000408,N/A,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053279,0.000055,,4808.791192,0.053584,0.000055,0.053541,4781.414731,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053244,0.000024,,4810.294752,0.053549,0.000024,0.053521,4783.125611,,,,
MicroBench_LocalMem_int32_4096,,,262144,256,,8.000000,0.002039,0.000039,,4017.290418,0.002093,0.000071,0.002024,3951.829178,,,,
MicroBench_LocalMem_fp32_4096,,,262144,256,,8.000000,0.002023,0.000029,,4010.797066,0.002064,0.000034,0.002026,3948.885624,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003612,0.000041,,4505.275678,0.003671,0.000024,0.003648,4385.726871,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003616,0.000022,,4451.566952,0.003663,0.000036,0.003632,4405.292408,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006894,0.000019,,4658.475514,0.006955,0.000052,0.006913,4629.221760,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006921,0.000039,,4666.034419,0.006988,0.000046,0.006921,4623.871866,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,0.000693,0.000001,,N/A,0.000742,0.000042,0.000721,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,0.000692,0.000001,,N/A,0.000728,0.000013,0.000720,N/A,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006897,0.000022,,4655.585597,0.006963,0.000046,0.006921,4623.909949,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006926,0.000034,,4659.745392,0.006992,0.000048,0.006917,4626.246954,,,,
MicroBench_LocalMem_int32_4096,,,1048576,256,,32.000000,0.006915,0.000051,,4674.043866,0.006984,0.000080,0.006889,4645.193582,,,,
MicroBench_LocalMem_fp32_4096,,,1048576,256,,32.000000,0.006912,0.000055,,4658.546044,0.006963,0.000049,0.006921,4623.855830,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001160,0.000037,,1787.578475,0.001208,0.000063,0.001150,1739.342181,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001134,0.000033,,1786.582054,0.001174,0.000035,0.001149,1740.960714,,,,
MicroBench_LocalMem_int32_4096,,,8388608,256,,256.000000,0.053240,0.000016,,4809.956369,0.053558,0.000016,0.053536,4781.785462,,,,
MicroBench_LocalMem_fp32_4096,,,8388608,256,,256.000000,0.053266,0.000016,,4807.729868,0.053574,0.000013,0.053553,4780.299400,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001035,0.000001,,1934.490417,0.001123,0.000083,0.001079,1853.046037,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,0.001075,0.000039,,1935.074384,0.001127,0.000057,0.001069,1870.552178,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,0.106240,0.000047,,4821.403173,0.106783,0.000044,0.106745,4796.468645,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,0.106256,0.000035,,4819.911537,0.106797,0.000044,0.106756,4795.982825,,,,
MicroBench_LocalMem_int32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000280,0.000020,0.000270,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,2048,256,,0.000000,0.000241,0.000000,,N/A,0.000281,0.000013,0.000270,N/A,,,,
MicroBench_LocalMem_int32_4096,,,524288,256,,16.000000,0.003640,0.000018,,4418.961765,0.003693,0.000033,0.003655,4376.991360,,,,
MicroBench_LocalMem_fp32_4096,,,524288,256,,16.000000,0.003626,0.000026,,4446.163628,0.003678,0.000052,0.003643,4391.883360,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,0.001101,0.000001,,909.084298,0.001161,0.000039,0.001132,883.368815,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,0.001061,0.000056,,1000.976954,0.001110,0.000065,0.001034,967.335031,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,0.001135,0.000031,,1785.089504,0.001184,0.000043,0.001152,1736.055352,,,,
