bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010942,0.000004,0.010939,11701.536942,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010942,0.000005,0.010937,11703.011221,,,,
MicroBench_LocalMem_fp64_4096,,,4194304,256,,256.000000,N/A,N/A,,N/A,0.021807,0.000080,0.021724,11784.181191,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005495,0.000006,0.005490,11656.506079,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005497,0.000006,0.005490,11658.423493,,,,
MicroBench_LocalMem_fp64_4096,,,2097152,256,,128.000000,N/A,N/A,,N/A,0.010982,0.000058,0.010935,11706.009069,,,,
MicroBench_LocalMem_int32_4096,,,8192,256,,0.000000,N/A,N/A,,N/A,0.000112,0.000008,0.000107,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,8192,256,,0.000000,N/A,N/A,,N/A,0.000114,0.000004,0.000111,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,8192,256,,0.000000,N/A,N/A,,N/A,0.000174,0.000051,0.000136,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005491,0.000006,0.005486,11665.238283,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,,N/A,0.005490,0.000005,0.005485,11667.983873,,,,
MicroBench_LocalMem_fp64_4096,,,2097152,256,,128.000000,N/A,N/A,,N/A,0.010979,0.000054,0.010933,11708.062748,,,,
