bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kernel-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_int32_4096,,,32768,512,,1.000000,N/A,N/A,N/A,N/A,0.000131,0.000008,0.000126,7956.905400,,,,
MicroBench_LocalMem_fp32_4096,,,32768,512,,1.000000,N/A,N/A,N/A,N/A,0.000130,0.000003,0.000127,7846.029517,,,,
MicroBench_LocalMem_fp64_4096,,,32768,512,,2.000000,N/A,N/A,N/A,N/A,0.000268,0.000044,0.000232,8604.111905,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,N/A,N/A,N/A,N/A,0.000133,0.000010,0.000126,7918.346016,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,N/A,N/A,N/A,N/A,0.000129,0.000003,0.000126,7916.528127,,,,
MicroBench_LocalMem_fp64_4096,,,32768,256,,2.000000,N/A,N/A,N/A,N/A,0.000266,0.000043,0.000231,8651.716501,,,,
MicroBench_LocalMem_int32_4096,,,524288,512,,16.000000,N/A,N/A,N/A,N/A,0.001393,0.000007,0.001388,11523.541876,,,,
MicroBench_LocalMem_fp32_4096,,,524288,512,,16.000000,N/A,N/A,N/A,N/A,0.001517,0.000136,0.001387,11532.778318,,,,
MicroBench_LocalMem_fp64_4096,,,524288,512,,32.000000,N/A,N/A,N/A,N/A,0.002991,0.000042,0.002959,10814.727496,,,,
MicroBench_LocalMem_int32_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000130,0.000009,0.000125,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000131,0.000009,0.000124,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000268,0.000047,0.000231,N/A,,,,
MicroBench_LocalMem_int32_4096,,,32768,256,,1.000000,N/A,N/A,N/A,N/A,0.000133,0.000013,0.000126,7915.525512,,,,
MicroBench_LocalMem_fp32_4096,,,32768,256,,1.000000,N/A,N/A,N/A,N/A,0.000130,0.000004,0.000127,7902.639482,,,,
MicroBench_LocalMem_fp64_4096,,,32768,256,,2.000000,N/A,N/A,N/A,N/A,0.000266,0.000042,0.000232,8638.637169,,,,
MicroBench_LocalMem_int32_4096,,,4096,128,,0.000000,N/A,N/A,N/A,N/A,0.000108,0.000009,0.000104,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,128,,0.000000,N/A,N/A,N/A,N/A,0.000108,0.000008,0.000102,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,128,,0.000000,N/A,N/A,N/A,N/A,0.000165,0.000048,0.000128,N/A,,,,
MicroBench_LocalMem_int32_4096,,,131072,512,,4.000000,N/A,N/A,N/A,N/A,0.000447,0.000010,0.000442,9054.608343,,,,
MicroBench_LocalMem_fp32_4096,,,131072,512,,4.000000,N/A,N/A,N/A,N/A,0.000444,0.000003,0.000442,9045.803426,,,,
MicroBench_LocalMem_fp64_4096,,,131072,512,,8.000000,N/A,N/A,N/A,N/A,0.000895,0.000043,0.000861,9288.285150,,,,
MicroBench_LocalMem_int32_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000131,0.000011,0.000125,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000132,0.000009,0.000126,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000269,0.000050,0.000230,N/A,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,N/A,N/A,N/A,N/A,0.000237,0.000009,0.000232,8637.294109,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,N/A,N/A,N/A,N/A,0.000235,0.000003,0.000232,8630.883026,,,,
MicroBench_LocalMem_fp64_4096,,,65536,256,,4.000000,N/A,N/A,N/A,N/A,0.000479,0.000046,0.000442,9048.402165,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,N/A,N/A,N/A,N/A,0.010935,0.000008,0.010930,11710.576755,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,N/A,N/A,N/A,N/A,0.010933,0.000005,0.010930,11711.238910,,,,
MicroBench_LocalMem_fp64_4096,,,4194304,256,,256.000000,N/A,N/A,N/A,N/A,0.021821,0.000097,0.021722,11785.061109,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,N/A,N/A,N/A,N/A,0.000112,0.000009,0.000108,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,N/A,N/A,N/A,N/A,0.000111,0.000004,0.000107,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,16384,256,,1.000000,N/A,N/A,N/A,N/A,0.000168,0.000042,0.000134,7458.233890,,,,
MicroBench_LocalMem_int32_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000130,0.000009,0.000126,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000130,0.000008,0.000125,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,512,,0.000000,N/A,N/A,N/A,N/A,0.000265,0.000045,0.000229,N/A,,,,
MicroBench_LocalMem_int32_4096,,,2097152,256,,64.000000,N/A,N/A,N/A,N/A,0.005483,0.000007,0.005478,11683.247446,,,,
MicroBench_LocalMem_fp32_4096,,,2097152,256,,64.000000,N/A,N/A,N/A,N/A,0.005482,0.000005,0.005478,11683.392477,,,,
