bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kernel-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.003250,0.000000,0.003250,N/A,0.003292,0.000000,0.003292,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.005473,0.000000,0.005473,N/A,0.005533,0.000000,0.005533,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.003291,0.000000,0.003291,N/A,0.003523,0.000000,0.003523,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.005512,0.000000,0.005512,N/A,0.005550,0.000000,0.005550,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.003228,0.000000,0.003228,N/A,0.003268,0.000000,0.003268,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.005505,0.000000,0.005505,N/A,0.005557,0.000000,0.005557,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.003250,0.000000,0.003250,N/A,0.003298,0.000000,0.003298,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.005465,0.000000,0.005465,N/A,0.005509,0.000000,0.005509,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.003297,0.000000,0.003297,N/A,0.003338,0.000000,0.003338,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.005468,0.000000,0.005468,N/A,0.005512,0.000000,0.005512,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.003317,0.000000,0.003317,N/A,0.003364,0.000000,0.003364,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.005512,0.000000,0.005512,N/A,0.005554,0.000000,0.005554,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.003251,0.000000,0.003251,N/A,0.003298,0.000000,0.003298,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.005507,0.000000,0.005507,N/A,0.005549,0.000000,0.005549,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.003251,0.000000,0.003251,N/A,0.003487,0.000000,0.003487,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.005508,0.000000,0.005508,N/A,0.005547,0.000000,0.005547,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.003262,0.000000,0.003262,N/A,0.003303,0.000000,0.003303,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.005512,0.000000,0.005512,N/A,0.005563,0.000000,0.005563,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.003241,0.000000,0.003241,N/A,0.003289,0.000000,0.003289,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.005470,0.000000,0.005470,N/A,0.005515,0.000000,0.005515,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.003257,0.000000,0.003257,N/A,0.003302,0.000000,0.003302,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.005508,0.000000,0.005508,N/A,0.005551,0.000000,0.005551,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.003255,0.000000,0.003255,N/A,0.003300,0.000000,0.003300,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.005503,0.000000,0.005503,N/A,0.005545,0.000000,0.005545,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.003078,0.000000,0.003078,N/A,0.003122,0.000000,0.003122,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.005181,0.000000,0.005181,N/A,0.005229,0.000000,0.005229,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.003065,0.000000,0.003065,N/A,0.003337,0.000000,0.003337,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.005223,0.000000,0.005223,N/A,0.005263,0.000000,0.005263,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.003108,0.000000,0.003108,N/A,0.003152,0.000000,0.003152,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.005193,0.000000,0.005193,N/A,0.005245,0.000000,0.005245,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.003089,0.000000,0.003089,N/A,0.003133,0.000000,0.003133,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.005220,0.000000,0.005220,N/A,0.005262,0.000000,0.005262,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.003072,0.000000,0.003072,N/A,0.003113,0.000000,0.003113,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.005235,0.000000,0.005235,N/A,0.005275,0.000000,0.005275,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.003100,0.000000,0.003100,N/A,0.003145,0.000000,0.003145,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.005246,0.000000,0.005246,N/A,0.005290,0.000000,0.005290,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.003262,0.000000,0.003262,N/A,0.003304,0.000000,0.003304,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.005513,0.000000,0.005513,N/A,0.005556,0.000000,0.005556,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.003275,0.000000,0.003275,N/A,0.003505,0.000000,0.003505,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.005462,0.000000,0.005462,N/A,0.005501,0.000000,0.005501,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.003321,0.000000,0.003321,N/A,0.003361,0.000000,0.003361,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.005471,0.000000,0.005471,N/A,0.005521,0.000000,0.005521,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.003225,0.000000,0.003225,N/A,0.003294,0.000000,0.003294,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.005524,0.000000,0.005524,N/A,0.005567,0.000000,0.005567,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.003326,0.000000,0.003326,N/A,0.003369,0.000000,0.003369,N/A,,,,
