bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015416,0.000000,,N/A,0.015513,0.000000,0.015513,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003814,0.000000,,N/A,0.003915,0.000000,0.003915,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015261,0.000000,,N/A,0.015437,0.000000,0.015437,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003685,0.000000,,N/A,0.003782,0.000000,0.003782,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012687,0.000000,,N/A,0.012790,0.000000,0.012790,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003497,0.000000,,N/A,0.003626,0.000000,0.003626,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012805,0.000000,,N/A,0.012931,0.000000,0.012931,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003507,0.000000,,N/A,0.003613,0.000000,0.003613,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012076,0.000000,,N/A,0.012196,0.000000,0.012196,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002930,0.000000,,N/A,0.003021,0.000000,0.003021,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012124,0.000000,,N/A,0.012239,0.000000,0.012239,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002926,0.000000,,N/A,0.003030,0.000000,0.003030,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015190,0.000000,,N/A,0.015285,0.000000,0.015285,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003814,0.000000,,N/A,0.003910,0.000000,0.003910,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015079,0.000000,,N/A,0.015195,0.000000,0.015195,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003685,0.000000,,N/A,0.003786,0.000000,0.003786,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012955,0.000000,,N/A,0.013072,0.000000,0.013072,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003508,0.000000,,N/A,0.003614,0.000000,0.003614,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012680,0.000000,,N/A,0.012810,0.000000,0.012810,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003497,0.000000,,N/A,0.003599,0.000000,0.003599,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012032,0.000000,,N/A,0.012146,0.000000,0.012146,N/A,,,,
