bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kernel-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015629,0.000189,0.014958,N/A,0.015702,0.000190,0.015029,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003903,0.000001,0.003901,N/A,0.003955,0.000007,0.003947,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015698,0.000256,0.015158,N/A,0.015769,0.000255,0.015232,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.004223,0.000295,0.003771,N/A,0.004275,0.000294,0.003815,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.013175,0.000340,0.012771,N/A,0.013240,0.000343,0.012843,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003592,0.000012,0.003565,N/A,0.003642,0.000014,0.003614,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.014210,0.000956,0.012856,N/A,0.014280,0.000956,0.012920,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.004215,0.000112,0.004074,N/A,0.004265,0.000112,0.004128,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.013380,0.001066,0.012621,N/A,0.013450,0.001069,0.012691,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.003015,0.000013,0.002979,N/A,0.003065,0.000015,0.003026,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.014131,0.001083,0.012204,N/A,0.014201,0.001083,0.012267,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.004051,0.000108,0.003862,N/A,0.004102,0.000107,0.003913,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.031596,0.001697,0.030379,N/A,0.031695,0.001702,0.030479,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.008384,0.000909,0.007740,N/A,0.008445,0.000912,0.007791,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.031385,0.000937,0.030462,N/A,0.031485,0.000944,0.030550,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.009347,0.001516,0.007495,N/A,0.009408,0.001518,0.007546,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.026415,0.001542,0.025666,N/A,0.026500,0.001548,0.025750,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.007837,0.000839,0.007099,N/A,0.007895,0.000841,0.007156,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.026352,0.001036,0.025581,N/A,0.026439,0.001041,0.025664,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.008496,0.001437,0.007088,N/A,0.008556,0.001439,0.007144,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.024747,0.001267,0.024153,N/A,0.024839,0.001273,0.024253,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.007178,0.001063,0.005960,N/A,0.007237,0.001066,0.006012,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.024727,0.001319,0.024286,N/A,0.024815,0.001327,0.024378,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.006908,0.000754,0.005961,N/A,0.006965,0.000754,0.006016,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.003880,0.000054,0.003781,N/A,0.003931,0.000055,0.003823,N/A,,,,
