bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-max,run-time-mean,run-time-stddev,run-time-min,run-time-max,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
OptimizedVectorAddition_int32_sg8,0,0,3072,64,100000,0.004076,0.000035,,,0.004171,0.000036,0.004125,,0.379004,0.010360,0.393188,0.368652
OptimizedVectorAddition_int64_sg8,0,0,3072,64,100000,0.005172,0.000000,,,0.005271,0.000022,0.005253,,0.495483,0.034529,0.554809,0.465881
OptimizedVectorAddition_fp32_sg8,0,0,3072,64,100000,0.004018,0.000018,,,0.004111,0.000022,0.004082,,0.406348,0.038937,0.475647,0.382874
OptimizedVectorAddition_int32_sg16,0,0,3072,64,100000,0.004572,0.000091,,,0.004663,0.000092,0.004581,,0.422388,0.045605,0.463807,0.368835
OptimizedVectorAddition_int64_sg16,0,0,3072,64,100000,0.005726,0.000006,,,0.005826,0.000016,0.005807,,0.512415,0.044794,0.568726,0.467529
OptimizedVectorAddition_fp32_sg16,0,0,3072,64,100000,0.004505,0.000000,,,0.004588,0.000012,0.004578,,0.410938,0.048136,0.466918,0.370423
OptimizedVectorAddition_int32_sg32,0,0,3072,64,100000,0.005161,0.000025,,,0.005259,0.000028,0.005213,,0.469226,0.031901,0.524902,0.445861
OptimizedVectorAddition_int64_sg32,0,0,3072,64,100000,0.006790,0.000073,,,0.006906,0.000051,0.006849,,0.636426,0.005348,0.643677,0.630249
OptimizedVectorAddition_fp32_sg32,0,0,3072,64,100000,0.005127,0.000043,,,0.005214,0.000043,0.005167,,0.455432,0.006389,0.465759,0.448975
OptimizedVectorAddition_int32_sg8,0,0,3072,512,100000,0.004181,0.000018,,,0.004273,0.000017,0.004248,,0.393970,0.036728,0.458923,0.368225
OptimizedVectorAddition_int64_sg8,0,0,3072,512,100000,0.005070,0.000022,,,0.005176,0.000024,0.005151,,0.490894,0.018244,0.509888,0.467957
OptimizedVectorAddition_fp32_sg8,0,0,3072,512,100000,0.004164,0.000019,,,0.004259,0.000019,0.004229,,0.380774,0.011907,0.392212,0.363159
OptimizedVectorAddition_int32_sg16,0,0,3072,512,100000,0.004772,0.000070,,,0.004872,0.000071,0.004773,,0.460474,0.008389,0.468811,0.446411
OptimizedVectorAddition_int64_sg16,0,0,3072,512,100000,0.005713,0.000039,,,0.005821,0.000033,0.005792,,0.548535,0.035943,0.567688,0.484802
OptimizedVectorAddition_fp32_sg16,0,0,3072,512,100000,0.004694,0.000050,,,0.004798,0.000049,0.004761,,0.419495,0.047611,0.461303,0.367554
OptimizedVectorAddition_int32_sg32,0,0,3072,512,100000,0.005172,0.000000,,,0.005284,0.000025,0.005260,,0.452209,0.008670,0.466430,0.442688
OptimizedVectorAddition_int64_sg32,0,0,3072,512,100000,0.006960,0.000208,,,0.007072,0.000203,0.006852,,0.627832,0.043116,0.659485,0.551880
OptimizedVectorAddition_fp32_sg32,0,0,3072,512,100000,0.005138,0.000021,,,0.005252,0.000025,0.005224,,0.473047,0.041234,0.546204,0.448792
OptimizedVectorAddition_int32_sg8,0,0,3072,128,100000,0.004064,0.000018,,,0.004153,0.000027,0.004130,,0.400354,0.038379,0.467468,0.376099
OptimizedVectorAddition_int64_sg8,0,0,3072,128,100000,0.005172,0.000000,,,0.005257,0.000014,0.005247,,0.504578,0.038678,0.571351,0.472046
OptimizedVectorAddition_fp32_sg8,0,0,3072,128,100000,0.004026,0.000021,,,0.004111,0.000020,0.004080,,0.383997,0.006934,0.390930,0.374511
OptimizedVectorAddition_int32_sg16,0,0,3072,128,100000,0.004647,0.000037,,,0.004730,0.000038,0.004663,,0.427527,0.045448,0.469238,0.373474
OptimizedVectorAddition_int64_sg16,0,0,3072,128,100000,0.005698,0.000010,,,0.005803,0.000019,0.005780,,0.545703,0.043755,0.575928,0.468994
OptimizedVectorAddition_fp32_sg16,0,0,3072,128,100000,0.004532,0.000048,,,0.004627,0.000055,0.004579,,0.398205,0.046385,0.453857,0.358887
OptimizedVectorAddition_int32_sg32,0,0,3072,128,100000,0.005071,0.000027,,,0.005175,0.000028,0.005146,,0.476367,0.034783,0.535828,0.450318
OptimizedVectorAddition_int64_sg32,0,0,3072,128,100000,0.006747,0.000008,,,0.006850,0.000010,0.006837,,0.643701,0.006974,0.655578,0.637146
OptimizedVectorAddition_fp32_sg32,0,0,3072,128,100000,0.005043,0.000034,,,0.005159,0.000035,0.005121,,0.463025,0.012327,0.481995,0.451539
OptimizedVectorAddition_int32_sg8,0,0,3072,1024,100000,0.005454,0.000001,,,0.005551,0.000031,0.005528,,0.491944,0.043490,0.539246,0.446167
OptimizedVectorAddition_int64_sg8,0,0,3072,1024,100000,0.007503,0.000067,,,0.007616,0.000073,0.007497,,0.705078,0.047971,0.744873,0.652587
OptimizedVectorAddition_fp32_sg8,0,0,3072,1024,100000,0.005386,0.000027,,,0.005477,0.000030,0.005440,,0.487671,0.043319,0.563415,0.454590
OptimizedVectorAddition_int32_sg16,0,0,3072,1024,100000,0.005461,0.000025,,,0.005550,0.000027,0.005527,,0.453076,0.009794,0.466675,0.444214
OptimizedVectorAddition_int64_sg16,0,0,3072,1024,100000,0.006282,0.000016,,,0.006396,0.000022,0.006378,,0.606262,0.045061,0.644837,0.556153
OptimizedVectorAddition_fp32_sg16,0,0,3072,1024,100000,0.005393,0.000017,,,0.005498,0.000016,0.005482,,0.490295,0.048986,0.544006,0.446411
OptimizedVectorAddition_int32_sg32,0,0,3072,1024,100000,0.005263,0.000001,,,0.005352,0.000015,0.005342,,0.453589,0.008351,0.465759,0.442261
OptimizedVectorAddition_int64_sg32,0,0,3072,1024,100000,0.007095,0.000028,,,0.007197,0.000051,0.007148,,0.637109,0.056176,0.719788,0.561402
OptimizedVectorAddition_fp32_sg32,0,0,3072,1024,100000,0.005140,0.000001,,,0.005228,0.000019,0.005216,,0.455701,0.011815,0.468506,0.440308
OptimizedVectorAddition_int32_sg8,0,0,3072,256,100000,0.004172,0.000000,,,0.004271,0.000052,0.004244,,0.397351,0.032706,0.455323,0.379028
OptimizedVectorAddition_int64_sg8,0,0,3072,256,100000,0.004741,0.000035,,,0.004825,0.000036,0.004782,,0.452478,0.051647,0.498230,0.390503
OptimizedVectorAddition_fp32_sg8,0,0,3072,256,100000,0.004149,0.000024,,,0.004231,0.000028,0.004207,,0.382398,0.010936,0.393860,0.371521
OptimizedVectorAddition_int32_sg16,0,0,3072,256,100000,0.004704,0.000010,,,0.004786,0.000018,0.004761,,0.417249,0.040875,0.455444,0.366821
OptimizedVectorAddition_int64_sg16,0,0,3072,256,100000,0.005703,0.000023,,,0.005820,0.000032,0.005767,,0.508508,0.052839,0.573974,0.467835
OptimizedVectorAddition_fp32_sg16,0,0,3072,256,100000,0.004646,0.000034,,,0.004758,0.000047,0.004730,,0.433313,0.044858,0.472107,0.376709
OptimizedVectorAddition_int32_sg32,0,0,3072,256,100000,0.005180,0.000036,,,0.005280,0.000040,0.005227,,0.471069,0.009710,0.485840,0.462646
OptimizedVectorAddition_int64_sg32,0,0,3072,256,100000,0.006886,0.000091,,,0.007005,0.000094,0.006914,,0.621790,0.049500,0.663453,0.566162
OptimizedVectorAddition_fp32_sg32,0,0,3072,256,100000,0.005105,0.000037,,,0.005196,0.000037,0.005153,,0.499585,0.040639,0.552368,0.463867
OptimizedVectorAddition_int32_sg8,0,0,3072,64,100000,0.004064,0.000023,,,0.004162,0.000046,0.004126,,0.375330,0.007696,0.383728,0.367004
OptimizedVectorAddition_int64_sg8,0,0,3072,64,100000,0.005172,0.000000,,,0.005256,0.000011,0.005247,,0.513830,0.050683,0.575195,0.468444
OptimizedVectorAddition_fp32_sg8,0,0,3072,64,100000,0.004030,0.000023,,,0.004125,0.000023,0.004089,,0.385205,0.003090,0.388733,0.380738
OptimizedVectorAddition_int32_sg16,0,0,3072,64,100000,0.004582,0.000026,,,0.004674,0.000038,0.004649,,0.405823,0.048676,0.459229,0.369567
OptimizedVectorAddition_int64_sg16,0,0,3072,64,100000,0.005738,0.000024,,,0.005836,0.000050,0.005805,,0.521582,0.043551,0.562133,0.472656
OptimizedVectorAddition_fp32_sg16,0,0,3072,64,100000,0.004513,0.000016,,,0.004596,0.000021,0.004579,,0.419092,0.049657,0.464477,0.359009
OptimizedVectorAddition_int32_sg32,0,0,3072,64,100000,0.005164,0.000018,,,0.005261,0.000018,0.005245,,0.521728,0.027958,0.542541,0.472778
OptimizedVectorAddition_int64_sg32,0,0,3072,64,100000,0.006795,0.000059,,,0.006900,0.000062,0.006840,,0.600928,0.055405,0.645081,0.537659
OptimizedVectorAddition_fp32_sg32,0,0,3072,64,100000,0.005106,0.000039,,,0.005197,0.000039,0.005159,,0.453381,0.004962,0.461242,0.447632
OptimizedVectorAddition_int32_sg8,0,0,3072,128,100000,0.004064,0.000023,,,0.004146,0.000035,0.004119,,0.386633,0.008931,0.396911,0.372864
OptimizedVectorAddition_int64_sg8,0,0,3072,128,100000,0.005172,0.000000,,,0.005262,0.000016,0.005250,,0.501965,0.045085,0.580811,0.469360
OptimizedVectorAddition_fp32_sg8,0,0,3072,128,100000,0.004014,0.000019,,,0.004112,0.000038,0.004081,,0.402832,0.036675,0.468139,0.382569
OptimizedVectorAddition_int32_sg16,0,0,3072,128,100000,0.004630,0.000042,,,0.004722,0.000047,0.004663,,0.438172,0.037389,0.463868,0.372925
